# CT14 NNLO Q=1.057
# x  w(x)  delta_w(x)
9.531062E-02  1.101026E-01  9.933684E-03
9.729459E-02  1.123421E-01  9.984991E-03
9.927856E-02  1.147426E-01  9.890451E-03
1.012625E-01  1.169534E-01  9.714770E-03
1.032465E-01  1.192581E-01  9.741874E-03
1.052305E-01  1.212876E-01  9.831867E-03
1.072144E-01  1.237928E-01  9.968197E-03
1.091984E-01  1.261236E-01  9.968473E-03
1.111824E-01  1.285098E-01  9.821452E-03
1.131663E-01  1.308364E-01  9.719282E-03
1.151503E-01  1.330844E-01  9.649999E-03
1.171343E-01  1.353142E-01  9.667267E-03
1.191182E-01  1.377155E-01  9.980749E-03
1.211022E-01  1.400340E-01  9.892784E-03
1.230862E-01  1.425276E-01  9.814798E-03
1.250701E-01  1.450658E-01  9.562226E-03
1.270541E-01  1.473742E-01  9.539443E-03
1.290381E-01  1.496350E-01  9.563032E-03
1.310220E-01  1.522198E-01  9.930509E-03
1.330060E-01  1.547993E-01  9.838267E-03
1.349900E-01  1.569535E-01  9.720307E-03
1.369739E-01  1.593446E-01  9.625138E-03
1.389579E-01  1.620045E-01  9.562771E-03
1.409419E-01  1.644858E-01  9.359859E-03
1.429259E-01  1.667894E-01  9.645127E-03
1.449098E-01  1.693857E-01  9.737334E-03
1.468938E-01  1.719392E-01  9.762253E-03
1.488778E-01  1.742679E-01  9.430577E-03
1.508617E-01  1.768931E-01  9.587604E-03
1.528457E-01  1.797118E-01  9.458388E-03
