# MMHT2014 NNLO Q=1.000
# x  w(x)  delta_w(x)
9.332665E-02  7.042431E-02  4.341693E-03
9.531062E-02  7.244034E-02  4.390894E-03
9.729459E-02  7.438017E-02  4.478407E-03
9.927856E-02  7.641561E-02  4.417093E-03
1.012625E-01  7.832152E-02  4.399769E-03
1.032465E-01  8.044543E-02  4.456859E-03
1.052305E-01  8.234386E-02  4.310176E-03
1.072144E-01  8.441279E-02  4.651381E-03
1.091984E-01  8.663910E-02  4.742096E-03
1.111824E-01  8.868708E-02  4.452122E-03
1.131663E-01  9.068107E-02  4.476214E-03
1.151503E-01  9.297525E-02  4.686755E-03
1.171343E-01  9.482767E-02  4.549818E-03
1.191182E-01  9.710664E-02  4.689868E-03
1.211022E-01  9.927018E-02  4.629192E-03
1.230862E-01  1.016072E-01  4.677085E-03
1.250701E-01  1.037296E-01  4.730010E-03
1.270541E-01  1.060263E-01  4.867362E-03
1.290381E-01  1.079530E-01  4.566632E-03
1.310220E-01  1.102303E-01  4.815256E-03
1.330060E-01  1.124553E-01  4.899971E-03
1.349900E-01  1.147483E-01  4.758052E-03
1.369739E-01  1.171522E-01  4.838325E-03
1.389579E-01  1.192825E-01  4.764140E-03
1.409419E-01  1.215445E-01  4.746522E-03
1.429259E-01  1.239688E-01  5.005016E-03
1.449098E-01  1.263174E-01  4.775871E-03
1.468938E-01  1.288280E-01  4.888862E-03
1.488778E-01  1.311306E-01  4.998041E-03
1.508617E-01  1.333475E-01  4.895271E-03
1.528457E-01  1.356123E-01  4.727212E-03
